Area Category;Nama Daerah;Luas Tanah (m2);Luas Bangunan (m2);Jumlah Kamar;Jumlah Km Mandi;Tingkat/Lantai ;Harga rata2 Komunitas;Harga Dipasarkan (dari Owner);Harga Terjual;Terjual/Belum;Status Kepemilikan;Arah Hadap Rumah;Posisi Rumah;Lebar Jalan Depan Rumah (ROW)
Standard;grand sunrise;90;48;2;1;1;900.000.000;800.000.000;;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil
Premium;kupang indah;300;250;5;3;1;3.300.000.000;3.500.000.000;3.000.000.000;Terjual;Hak Milik (SHM);Utara;Standard;> 2 Mobil
Standard;bayleaf;60;40;2;1;1;400.000.000;500.000.000;;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Selatan;Standard;1-2 Mobil
Standard;padmosusastro;150;122;3;2;1;2.800.000.000;3.500.000.000;;Belum;Hak Milik (SHM);Barat;Standard;> 2 Mobil
Premium;pakuwon indah;265;236;5;4;2;6.000.000.000;6.500.000.000;;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil
Standard;pandugo;113;100;3;2;2;1.250.000.000;1.500.000.000;1.250.000.000;Terjual;Hak Milik (SHM);Timur;Standard;> 2 Mobil
Standard;ploso;72;140;3;3;2;1.000.000.000;1.300.000.000;;Belum;Hak Milik (SHM);Utara;Standard;1-2 Mobil
Standard;prapen;165;330;4;3;2;2.500.000.000;2.750.000.000;;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil
Standard;puri surya jaya;217;100;5;2;2;1.300.000.000;1.400.000.000;;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil
Standard;puri surya jaya;105;70;2;1;1;700.000.000;899.000.000;;Belum;Hak Milik (SHM);Barat;Standard;> 2 Mobil
Standard;Tenggilis;91;150;5;4;2;1.500.000.000;1.650.000.000;;Belum;Hak Milik (SHM);Selatan;Tikungan/Hook;> 2 Mobil
Standard;Tenggilis;80;125;4;4;2;1.300.000.000;1.550.000.000;;Belum;Hak Milik (SHM);Barat;Standard;> 2 Mobil
Standard;royal residence;445;500;6;5;2;6.500.000.000;8.000.000.000;;Belum;Hak Milik (SHM);Selatan;Tikungan/Hook;> 2 Mobil
Standard;taman pondok indah;140;200;4;3;2;2.500.000.000;2.700.000.000;;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil
Standard;Palma Classica;105;60;2;1;1;1.200.000.000;1.200.000.000;;Belum;Hak Guna Bangunan (HGB);Timur;Standard;> 2 Mobil
Standard;Northwest Park;72;54;2;1;1;1.000.000.000;1.100.000.000;;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil
Standard;Northwest Park;105;90;3;2;2;1.300.000.000;1.600.000.000;;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil
